時間,設備,值
2024-10-26 09:52:29,SA-20/TEMPERATURE,24.24
2024-10-26 09:52:31,SA-20/TEMPERATURE,23.77
2024-10-26 09:52:41,SA-20/TEMPERATURE,24.24
2024-10-26 09:52:43,SA-20/TEMPERATURE,23.77
2024-10-26 09:52:57,SA-20/TEMPERATURE,24.24
2024-10-26 09:52:59,SA-20/TEMPERATURE,23.77
2024-10-26 09:53:11,SA-20/TEMPERATURE,23.3
2024-10-26 11:50:33,SA-20/TEMPERATURE,24.24
2024-10-26 11:50:33,SA-20/LINE_LEVEL,1
2024-10-26 11:50:33,SA-20/LED_LEVEL,1
2024-10-26 11:50:34,SA-20/LED_LEVEL,7
2024-10-26 11:50:34,SA-20/LED_LEVEL,6
2024-10-26 11:50:35,SA-20/TEMPERATURE,24.7
2024-10-26 11:50:35,SA-20/LED_LEVEL,1
2024-10-26 11:50:36,SA-20/LED_LEVEL,4
2024-10-26 11:50:37,SA-20/LED_LEVEL,3
2024-10-26 11:50:37,SA-20/TEMPERATURE,24.24
2024-10-26 11:50:37,SA-20/LED_LEVEL,2
2024-10-26 11:50:38,SA-20/LED_LEVEL,1
2024-10-26 11:50:39,SA-20/TEMPERATURE,24.7
2024-10-26 11:50:39,SA-20/LED_LEVEL,3
2024-10-26 11:50:40,SA-20/LED_LEVEL,0
2024-10-26 11:50:41,SA-20/TEMPERATURE,24.24
2024-10-26 11:50:41,SA-20/LED_LEVEL,3
2024-10-26 11:50:42,SA-20/LED_LEVEL,0
2024-10-26 11:50:43,SA-20/LED_LEVEL,5
2024-10-26 11:50:44,SA-20/LED_LEVEL,0
2024-10-26 11:50:45,SA-20/LED_LEVEL,7
2024-10-26 11:50:46,SA-20/LED_LEVEL,0
2024-10-26 11:50:47,SA-20/LED_LEVEL,7
2024-10-26 11:50:48,SA-20/LED_LEVEL,0
2024-10-26 11:50:49,SA-20/TEMPERATURE,24.7
2024-10-26 11:50:49,SA-20/LED_LEVEL,5
2024-10-26 11:50:50,SA-20/LED_LEVEL,0
2024-10-26 11:50:51,SA-20/TEMPERATURE,24.24
2024-10-26 11:50:51,SA-20/LED_LEVEL,6
2024-10-26 11:50:52,SA-20/LED_LEVEL,0
2024-10-26 11:50:53,SA-20/LED_LEVEL,9
2024-10-26 11:50:54,SA-20/LED_LEVEL,0
2024-10-26 11:50:54,SA-20/LED_LEVEL,1
2024-10-26 11:50:55,SA-20/LED_LEVEL,10
2024-10-26 11:50:56,SA-20/LED_LEVEL,2
2024-10-26 11:50:57,SA-20/LED_LEVEL,10
2024-10-26 11:50:59,SA-20/LED_LEVEL,2
2024-10-26 11:50:59,SA-20/LED_LEVEL,3
2024-10-26 11:50:59,SA-20/LED_LEVEL,9
2024-10-26 11:51:00,SA-20/LED_LEVEL,5
2024-10-26 11:51:01,SA-20/LED_LEVEL,7
2024-10-26 11:51:01,SA-20/LED_LEVEL,8
2024-10-26 11:51:02,SA-20/LED_LEVEL,9
2024-10-26 11:51:02,SA-20/LED_LEVEL,10
2024-10-26 11:51:03,SA-20/LED_LEVEL,5
2024-10-26 11:51:04,SA-20/LED_LEVEL,10
2024-10-26 11:51:05,SA-20/LED_LEVEL,1
2024-10-26 11:51:06,SA-20/LED_LEVEL,10
2024-10-26 11:51:07,SA-20/LED_LEVEL,4
2024-10-26 11:51:08,SA-20/LED_LEVEL,9
2024-10-26 11:51:09,SA-20/LED_LEVEL,0
2024-10-26 11:51:10,SA-20/LED_LEVEL,9
2024-10-26 11:51:11,SA-20/LED_LEVEL,8
2024-10-26 11:51:11,SA-20/LED_LEVEL,1
2024-10-26 11:51:12,SA-20/LED_LEVEL,8
2024-10-26 11:51:12,SA-20/LED_LEVEL,7
2024-10-26 11:51:13,SA-20/LED_LEVEL,6
2024-10-26 11:51:13,SA-20/LED_LEVEL,2
2024-10-26 11:51:14,SA-20/LED_LEVEL,3
2024-10-26 11:51:14,SA-20/LED_LEVEL,2
