時間,設備,值
2024-10-26 09:47:57,SA-20/LED_LEVEL,10
2024-10-26 09:47:59,SA-20/TEMPERATURE,23.77
2024-10-26 09:47:59,SA-20/LINE_LEVEL,1
2024-10-26 09:48:07,SA-20/TEMPERATURE,24.24
2024-10-26 09:48:11,SA-20/TEMPERATURE,23.77
2024-10-26 09:48:26,SA-20/LED_LEVEL,0
2024-10-26 09:48:27,SA-20/LED_LEVEL,10
2024-10-26 09:48:30,SA-20/LED_LEVEL,8
2024-10-26 09:48:31,SA-20/LED_LEVEL,4
2024-10-26 09:48:31,SA-20/LED_LEVEL,2
2024-10-26 09:48:33,SA-20/LED_LEVEL,10
2024-10-26 09:48:55,SA-20/LINE_LEVEL,0
2024-10-26 09:48:57,SA-20/LINE_LEVEL,1
2024-10-26 09:49:05,SA-20/TEMPERATURE,24.24
2024-10-26 09:49:07,SA-20/TEMPERATURE,23.77
2024-10-26 09:49:11,SA-20/TEMPERATURE,24.24
2024-10-26 09:49:13,SA-20/TEMPERATURE,23.77
2024-10-26 09:49:17,SA-20/TEMPERATURE,24.24
2024-10-26 09:49:21,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:18,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:18,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:25,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:27,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:39,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:41,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:47,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:49,SA-20/TEMPERATURE,23.77
2024-10-26 09:50:51,SA-20/TEMPERATURE,24.24
2024-10-26 09:50:54,SA-20/TEMPERATURE,23.77
2024-10-26 09:51:35,SA-20/TEMPERATURE,24.24
2024-10-26 09:51:37,SA-20/TEMPERATURE,23.77
2024-10-26 09:51:53,SA-20/TEMPERATURE,24.24
2024-10-26 09:51:55,SA-20/TEMPERATURE,23.77
2024-10-26 09:51:55,SA-20/LED_LEVEL,9
2024-10-26 09:51:55,SA-20/LED_LEVEL,10
